gamma,k,horizon,total_pnl,sharpe,max_dd_pct,fills,maker_ratio
0.0500,1.0000,1.0000,0.08140903,0.000000,0.000000,159,1.000000
0.0500,1.0000,30.0000,0.08140903,0.000000,0.000000,159,1.000000
0.0500,3.0000,1.0000,0.82233277,0.000000,0.000000,199,1.000000
0.0500,3.0000,30.0000,0.82233277,0.000000,0.000000,199,1.000000
0.2000,1.0000,1.0000,0.01672242,0.000000,0.000000,179,1.000000
0.2000,1.0000,30.0000,0.01672243,0.000000,0.000000,179,1.000000
0.2000,3.0000,1.0000,0.80269786,0.000000,0.000000,199,1.000000
0.2000,3.0000,30.0000,0.80269787,0.000000,0.000000,199,1.000000
